[2019-03-18T09:37:27-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2019-03-18T09:37:41-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T09:45:52-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T10:24:24-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T10:24:24-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T10:25:20-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T10:25:21-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T10:29:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T10:29:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T13:38:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T13:38:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T15:15:31-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T15:15:32-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T15:16:55-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T15:16:55-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T15:36:47-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T15:36:47-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T15:37:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T15:37:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T16:54:28-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T16:54:29-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T17:09:52-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T17:09:53-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T19:47:25-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 33dbe564b3; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-18T19:47:25-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 33dbe564b3; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-18T19:47:35-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 33dbe564b3; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-18T19:47:35-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 33dbe564b3; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
